order_id,customer_id,product_id,quantity,order_date,order_amount
O00001,C012,P049,2,2026-08-06,26066
O00002,C053,P032,4,2026-08-07,70168
O00003,C052,P004,2,2026-08-13,139428
O00004,C001,P025,3,2026-08-15,87192
O00005,C037,P028,5,2026-08-16,21585
O00006,C020,P013,3,2026-08-07,187488
O00007,C008,P038,5,2026-08-02,270415
O00008,C096,P021,1,2026-08-02,32693
O00009,C075,P031,5,2026-08-17,319120
O00010,C021,P004,5,2026-08-03,348570
O00011,C024,P005,5,2026-08-03,213435
O00012,C087,P016,4,2026-08-04,222644
O00013,C073,P016,5,2026-08-02,278305
O00014,C080,P006,4,2026-08-17,11008
O00015,C041,P017,2,2026-08-11,53130
O00016,C031,P017,4,2026-08-05,106260
O00017,C086,P042,3,2026-08-15,98373
O00018,C041,P049,1,2026-08-01,13033
O00019,C059,P040,5,2026-08-04,40720
O00020,C010,P035,2,2026-08-17,50314
O00021,C034,P009,3,2026-08-03,95313
O00022,C032,P024,3,2026-08-06,91083
O00023,C057,P035,3,2026-08-17,75471
O00024,C002,P043,5,2026-08-10,125655
O00025,C085,P007,2,2026-08-09,95552
O00026,C015,P007,5,2026-08-05,238880
O00027,C035,P019,5,2026-08-07,288110
O00028,C092,P022,2,2026-08-09,17184
O00029,C065,P032,3,2026-08-02,52626
O00030,C012,P041,4,2026-08-09,178692
O00031,C006,P001,3,2026-08-05,200220
O00032,C082,P017,2,2026-08-15,53130
O00033,C071,P046,4,2026-08-18,146836
O00034,C002,P008,1,2026-08-05,31585
O00035,C070,P003,3,2026-08-18,147627
O00036,C019,P028,2,2026-08-02,8634
O00037,C040,P024,1,2026-08-12,30361
O00038,C027,P044,2,2026-08-04,118000
O00039,C046,P050,5,2026-08-14,10670
O00040,C080,P048,2,2026-08-08,116564
O00041,C021,P012,4,2026-08-01,66732
O00042,C023,P048,3,2026-08-14,174846
O00043,C086,P048,2,2026-08-09,116564
O00044,C021,P045,1,2026-08-13,55496
O00045,C005,P031,2,2026-08-07,127648
O00046,C059,P023,3,2026-08-08,8871
O00047,C029,P002,2,2026-08-13,52542
O00048,C043,P018,1,2026-08-09,52496
O00049,C045,P042,5,2026-08-13,163955
O00050,C087,P035,3,2026-08-01,75471
O00051,C015,P017,2,2026-08-09,53130
O00052,C005,P007,5,2026-08-14,238880
O00053,C045,P047,3,2026-08-14,98826
O00054,C078,P033,1,2026-08-13,62153
O00055,C074,P013,3,2026-08-02,187488
O00056,C091,P028,1,2026-08-17,4317
O00057,C069,P044,2,2026-08-12,118000
O00058,C056,P005,3,2026-08-11,128061
O00059,C085,P008,3,2026-08-17,94755
O00060,C040,P043,4,2026-08-11,100524
O00061,C052,P045,3,2026-08-18,166488
O00062,C017,P013,4,2026-08-13,249984
O00063,C087,P048,2,2026-08-10,116564
O00064,C052,P036,1,2026-08-10,12904
O00065,C037,P014,4,2026-08-11,87372
O00066,C060,P029,4,2026-08-07,37948
O00067,C066,P031,2,2026-08-03,127648
O00068,C037,P033,5,2026-08-11,310765
O00069,C012,P049,2,2026-08-10,26066
O00070,C029,P013,2,2026-08-01,124992
O00071,C006,P016,4,2026-08-03,222644
O00072,C059,P027,5,2026-08-07,151035
O00073,C092,P045,4,2026-08-16,221984
O00074,C052,P016,2,2026-08-01,111322
O00075,C097,P050,1,2026-08-14,2134
O00076,C029,P012,5,2026-08-15,83415
O00077,C007,P036,2,2026-08-04,25808
