product_id,stock_quantity,last_updated
P001,82,2026-08-19
P002,493,2026-08-19
P003,920,2026-08-19
P004,209,2026-08-19
P005,522,2026-08-19
P006,132,2026-08-19
P007,898,2026-08-19
P008,707,2026-08-19
P009,400,2026-08-19
P010,552,2026-08-19
P011,315,2026-08-19
P012,433,2026-08-19
P013,65,2026-08-19
P014,901,2026-08-19
P015,884,2026-08-19
P016,164,2026-08-19
P017,150,2026-08-19
P018,215,2026-08-19
P019,360,2026-08-19
P020,429,2026-08-19
P021,593,2026-08-19
P022,924,2026-08-19
P023,938,2026-08-19
P024,478,2026-08-19
P025,156,2026-08-19
P026,333,2026-08-19
P027,893,2026-08-19
P028,742,2026-08-19
P029,194,2026-08-19
P030,807,2026-08-19
P031,92,2026-08-19
P032,509,2026-08-19
P033,350,2026-08-19
P034,656,2026-08-19
P035,191,2026-08-19
P036,330,2026-08-19
P037,659,2026-08-19
P038,69,2026-08-19
P039,14,2026-08-19
P040,472,2026-08-19
P041,290,2026-08-19
P042,224,2026-08-19
P043,789,2026-08-19
P044,802,2026-08-19
P045,182,2026-08-19
P046,600,2026-08-19
P047,792,2026-08-19
P048,172,2026-08-19
P049,511,2026-08-19
P050,814,2026-08-19
