order_id,customer_id,product_id,quantity,order_date,order_amount
O01001,C012,P049,2,2026-08-19,26066
O01002,C053,P032,4,2026-08-19,70168
O01003,C052,P004,2,2026-08-19,139428
O01004,C001,P025,3,2026-08-19,87192
O01005,C037,P028,5,2026-08-19,21585
O01006,C020,P013,3,2026-08-19,187488
O01007,C008,P038,5,2026-08-19,270415
O01008,C096,P021,1,2026-08-19,32693
O01009,C075,P031,5,2026-08-19,319120
O01010,C021,P004,5,2026-08-19,348570
O01011,C024,P005,5,2026-08-19,213435
O01012,C087,P016,4,2026-08-19,222644
O01013,C073,P016,5,2026-08-19,278305
O01014,C080,P006,4,2026-08-19,11008
O01015,C041,P017,2,2026-08-19,53130
O01016,C031,P017,4,2026-08-19,106260
O01017,C086,P042,3,2026-08-19,98373
O01018,C041,P049,1,2026-08-19,13033
O01019,C059,P040,5,2026-08-19,40720
O01020,C010,P035,2,2026-08-19,50314
O01021,C034,P009,3,2026-08-19,95313
O01022,C032,P024,3,2026-08-19,91083
O01023,C057,P035,3,2026-08-19,75471
O01024,C002,P043,5,2026-08-19,125655
O01025,C085,P007,2,2026-08-19,95552
O01026,C015,P007,5,2026-08-19,238880
O01027,C035,P019,5,2026-08-19,288110
O01028,C092,P022,2,2026-08-19,17184
O01029,C065,P032,3,2026-08-19,52626
O01030,C012,P041,4,2026-08-19,178692
O01031,C006,P001,3,2026-08-19,200220
O01032,C082,P017,2,2026-08-19,53130
O01033,C071,P046,4,2026-08-19,146836
O01034,C002,P008,1,2026-08-19,31585
O01035,C070,P003,3,2026-08-19,147627
O01036,C019,P028,2,2026-08-19,8634
O01037,C040,P024,1,2026-08-19,30361
O01038,C027,P044,2,2026-08-19,118000
O01039,C046,P050,5,2026-08-19,10670
O01040,C080,P048,2,2026-08-19,116564
O01041,C021,P012,4,2026-08-19,66732
O01042,C023,P048,3,2026-08-19,174846
O01043,C086,P048,2,2026-08-19,116564
O01044,C021,P045,1,2026-08-19,55496
O01045,C005,P031,2,2026-08-19,127648
O01046,C059,P023,3,2026-08-19,8871
O01047,C029,P002,2,2026-08-19,52542
O01048,C043,P018,1,2026-08-19,52496
O01049,C045,P042,5,2026-08-19,163955
O01050,C087,P035,3,2026-08-19,75471
O01051,C015,P017,2,2026-08-19,53130
O01052,C005,P007,5,2026-08-19,238880
O01053,C045,P047,3,2026-08-19,98826
O01054,C078,P033,1,2026-08-19,62153
O01055,C074,P013,3,2026-08-19,187488
O01056,C091,P028,1,2026-08-19,4317
O01057,C069,P044,2,2026-08-19,118000
O01058,C056,P005,3,2026-08-19,128061
O01059,C085,P008,3,2026-08-19,94755
O01060,C040,P043,4,2026-08-19,100524
O01061,C052,P045,3,2026-08-19,166488
O01062,C017,P013,4,2026-08-19,249984
O01063,C087,P048,2,2026-08-19,116564
O01064,C052,P036,1,2026-08-19,12904
O01065,C037,P014,4,2026-08-19,87372
O01066,C060,P029,4,2026-08-19,37948
O01067,C066,P031,2,2026-08-19,127648
O01068,C037,P033,5,2026-08-19,310765
O01069,C012,P049,2,2026-08-19,26066
O01070,C029,P013,2,2026-08-19,124992
O01071,C006,P016,4,2026-08-19,222644
O01072,C059,P027,5,2026-08-19,151035
O01073,C092,P045,4,2026-08-19,221984
O01074,C052,P016,2,2026-08-19,111322
O01075,C097,P050,1,2026-08-19,2134
O01076,C029,P012,5,2026-08-19,83415
O01077,C007,P036,2,2026-08-19,25808
O01078,C059,P009,4,2026-08-19,127084
O01079,C072,P039,3,2026-08-19,21900
O01080,C079,P047,5,2026-08-19,164710
O01081,C071,P029,2,2026-08-19,18974
O01082,C058,P017,2,2026-08-19,53130
O01083,C099,P050,5,2026-08-19,10670
O01084,C081,P016,3,2026-08-19,166983
O01085,C010,P046,3,2026-08-19,110127
O01086,C035,P022,3,2026-08-19,25776
O01087,C011,P009,2,2026-08-19,63542
O01088,C050,P045,2,2026-08-19,110992
O01089,C009,P027,4,2026-08-19,120828
O01090,C070,P030,4,2026-08-19,125580
O01091,C027,P027,4,2026-08-19,120828
O01092,C098,P037,4,2026-08-19,186552
O01093,C001,P023,3,2026-08-19,8871
O01094,C054,P035,5,2026-08-19,125785
O01095,C063,P015,3,2026-08-19,208089
O01096,C063,P002,4,2026-08-19,105084
O01097,C086,P044,4,2026-08-19,236000
O01098,C060,P009,5,2026-08-19,158855
O01099,C004,P026,5,2026-08-19,47525
O01100,C011,P042,4,2026-08-19,131164
O01101,C060,P012,1,2026-08-19,16683
O01102,C049,P021,2,2026-08-19,65386
O01103,C042,P022,4,2026-08-19,34368
O01104,C097,P027,3,2026-08-19,90621
O01105,C061,P002,5,2026-08-19,131355
O01106,C045,P015,1,2026-08-19,69363
O01107,C097,P002,2,2026-08-19,52542
O01108,C003,P040,2,2026-08-19,16288
O01109,C017,P031,1,2026-08-19,63824
O01110,C060,P045,3,2026-08-19,166488
O01111,C022,P039,5,2026-08-19,36500
O01112,C100,P011,3,2026-08-19,191697
O01113,C075,P002,3,2026-08-19,78813
O01114,C051,P046,2,2026-08-19,73418
O01115,C076,P045,2,2026-08-19,110992
O01116,C090,P050,3,2026-08-19,6402
O01117,C073,P003,3,2026-08-19,147627
O01118,C055,P043,3,2026-08-19,75393
O01119,C065,P042,3,2026-08-19,98373
O01120,C054,P032,1,2026-08-19,17542
O01121,C047,P041,4,2026-08-19,178692
O01122,C056,P012,5,2026-08-19,83415
O01123,C079,P035,4,2026-08-19,100628
O01124,C056,P047,5,2026-08-19,164710
O01125,C042,P016,1,2026-08-19,55661
O01126,C058,P016,4,2026-08-19,222644
O01127,C044,P002,4,2026-08-19,105084
O01128,C024,P032,2,2026-08-19,35084
O01129,C034,P022,3,2026-08-19,25776
O01130,C072,P001,5,2026-08-19,333700
O01131,C011,P016,4,2026-08-19,222644
O01132,C072,P049,2,2026-08-19,26066
O01133,C083,P046,4,2026-08-19,146836
O01134,C003,P006,3,2026-08-19,8256
O01135,C052,P045,2,2026-08-19,110992
O01136,C085,P038,3,2026-08-19,162249
O01137,C071,P034,3,2026-08-19,186579
O01138,C096,P036,3,2026-08-19,38712
O01139,C090,P030,3,2026-08-19,94185
O01140,C033,P015,1,2026-08-19,69363
O01141,C041,P008,5,2026-08-19,157925
O01142,C025,P014,4,2026-08-19,87372
O01143,C093,P038,5,2026-08-19,270415
O01144,C013,P013,3,2026-08-19,187488
