product_id,product_name,category,unit_price
P001,Product_001,Accessories,66740
P002,Product_002,Books,26271
P003,Product_003,Furniture,49209
P004,Product_004,Furniture,69714
P005,Product_005,Electronics,42687
P006,Product_006,Appliances,2752
P007,Product_007,Electronics,47776
P008,Product_008,Accessories,31585
P009,Product_009,Electronics,31771
P010,Product_010,Books,10522
P011,Product_011,Electronics,63899
P012,Product_012,Electronics,16683
P013,Product_013,Furniture,62496
P014,Product_014,Books,21843
P015,Product_015,Accessories,69363
P016,Product_016,Books,55661
P017,Product_017,Furniture,26565
P018,Product_018,Accessories,52496
P019,Product_019,Accessories,57622
P020,Product_020,Books,59377
P021,Product_021,Electronics,32693
P022,Product_022,Furniture,8592
P023,Product_023,Accessories,2957
P024,Product_024,Books,30361
P025,Product_025,Books,29064
P026,Product_026,Electronics,9505
P027,Product_027,Electronics,30207
P028,Product_028,Electronics,4317
P029,Product_029,Accessories,9487
P030,Product_030,Books,31395
P031,Product_031,Accessories,63824
P032,Product_032,Furniture,17542
P033,Product_033,Books,62153
P034,Product_034,Furniture,62193
P035,Product_035,Appliances,25157
P036,Product_036,Electronics,12904
P037,Product_037,Appliances,46638
P038,Product_038,Appliances,54083
P039,Product_039,Appliances,7300
P040,Product_040,Electronics,8144
P041,Product_041,Appliances,44673
P042,Product_042,Electronics,32791
P043,Product_043,Furniture,25131
P044,Product_044,Books,59000
P045,Product_045,Furniture,55496
P046,Product_046,Furniture,36709
P047,Product_047,Appliances,32942
P048,Product_048,Electronics,58282
P049,Product_049,Books,13033
P050,Product_050,Electronics,2134
