return_id,order_id,return_date,return_reason
R1001,O00256,2026-08-19,Damaged Product
R1002,O00468,2026-08-19,Damaged Product
R1003,O00941,2026-08-19,Wrong Item
R1004,O00722,2026-08-19,Damaged Product
R1005,O00281,2026-08-19,Wrong Item
R1006,O00844,2026-08-19,Wrong Item
R1007,O00518,2026-08-19,Wrong Item
R1008,O00651,2026-08-19,Damaged Product
R1009,O00698,2026-08-19,Damaged Product
R1010,O00248,2026-08-19,Wrong Item
R1011,O00501,2026-08-19,Customer Return
R1012,O00457,2026-08-19,Damaged Product
R1013,O00984,2026-08-19,Wrong Item
R1014,O00601,2026-08-19,Customer Return
R1015,O00359,2026-08-19,Wrong Item
R1016,O00168,2026-08-19,Wrong Item
R1017,O00767,2026-08-19,Customer Return
R1018,O00093,2026-08-19,Wrong Item
R1019,O00029,2026-08-19,Wrong Item
R1020,O00051,2026-08-19,Damaged Product
R1021,O00875,2026-08-19,Customer Return
R1022,O00799,2026-08-19,Damaged Product
R1023,O00878,2026-08-19,Damaged Product
R1024,O00663,2026-08-19,Damaged Product
R1025,O00694,2026-08-19,Damaged Product
R1026,O00276,2026-08-19,Customer Return
R1027,O00420,2026-08-19,Customer Return
R1028,O00021,2026-08-19,Customer Return
R1029,O00010,2026-08-19,Wrong Item
R1030,O00934,2026-08-19,Damaged Product
R1031,O00663,2026-08-19,Damaged Product
R1032,O00616,2026-08-19,Damaged Product
R1033,O00230,2026-08-19,Wrong Item
R1034,O00623,2026-08-19,Wrong Item
R1035,O00730,2026-08-19,Customer Return
R1036,O00659,2026-08-19,Wrong Item
R1037,O00434,2026-08-19,Wrong Item
R1038,O00873,2026-08-19,Wrong Item
R1039,O00471,2026-08-19,Wrong Item
R1040,O00224,2026-08-19,Wrong Item
R1041,O00310,2026-08-19,Customer Return
R1042,O00534,2026-08-19,Customer Return
R1043,O00407,2026-08-19,Customer Return
R1044,O00105,2026-08-19,Damaged Product
R1045,O00524,2026-08-19,Customer Return
R1046,O00990,2026-08-19,Wrong Item
R1047,O00575,2026-08-19,Customer Return
R1048,O00609,2026-08-19,Customer Return
R1049,O00290,2026-08-19,Wrong Item
R1050,O00701,2026-08-19,Damaged Product
R1051,O00494,2026-08-19,Damaged Product
R1052,O00345,2026-08-19,Wrong Item
R1053,O00656,2026-08-19,Wrong Item
R1054,O00883,2026-08-19,Wrong Item
R1055,O00268,2026-08-19,Customer Return
R1056,O00729,2026-08-19,Customer Return
R1057,O00306,2026-08-19,Damaged Product
R1058,O00154,2026-08-19,Customer Return
R1059,O00784,2026-08-19,Damaged Product
R1060,O00922,2026-08-19,Damaged Product
R1061,O00825,2026-08-19,Customer Return
R1062,O00414,2026-08-19,Customer Return
R1063,O00328,2026-08-19,Customer Return
R1064,O00144,2026-08-19,Customer Return
R1065,O00027,2026-08-19,Customer Return
R1066,O00510,2026-08-19,Wrong Item
R1067,O00266,2026-08-19,Wrong Item
R1068,O00415,2026-08-19,Wrong Item
R1069,O00755,2026-08-19,Damaged Product
R1070,O00598,2026-08-19,Customer Return
R1071,O00586,2026-08-19,Damaged Product
R1072,O00352,2026-08-19,Customer Return
R1073,O00731,2026-08-19,Damaged Product
R1074,O00703,2026-08-19,Customer Return
R1075,O00654,2026-08-19,Wrong Item
R1076,O00929,2026-08-19,Customer Return
R1077,O00368,2026-08-19,Customer Return
R1078,O00308,2026-08-19,Damaged Product
R1079,O00861,2026-08-19,Customer Return
R1080,O00898,2026-08-19,Customer Return
R1081,O00186,2026-08-19,Wrong Item
R1082,O00100,2026-08-19,Wrong Item
R1083,O00132,2026-08-19,Customer Return
R1084,O00265,2026-08-19,Customer Return
R1085,O00828,2026-08-19,Customer Return
R1086,O00782,2026-08-19,Damaged Product
R1087,O00970,2026-08-19,Customer Return
R1088,O00922,2026-08-19,Wrong Item
R1089,O00671,2026-08-19,Damaged Product
R1090,O00228,2026-08-19,Wrong Item
R1091,O00229,2026-08-19,Customer Return
R1092,O00893,2026-08-19,Wrong Item
R1093,O00431,2026-08-19,Wrong Item
R1094,O00381,2026-08-19,Wrong Item
R1095,O00600,2026-08-19,Wrong Item
R1096,O00475,2026-08-19,Damaged Product
R1097,O00482,2026-08-19,Damaged Product
R1098,O00888,2026-08-19,Customer Return
R1099,O00598,2026-08-19,Customer Return
R1100,O00967,2026-08-19,Customer Return
R1101,O00256,2026-08-19,Damaged Product
R1102,O00468,2026-08-19,Damaged Product
R1103,O00941,2026-08-19,Wrong Item
R1104,O00722,2026-08-19,Damaged Product
R1105,O00281,2026-08-19,Wrong Item
